ep,J_proxy,mq_mean,mx_mean,mt_mean
1,-0.08579426288288884,0.058803342638860945,0.01285606402309347,28.269712441868855
2,-0.18542330230502962,0.09082116934245857,0.037127571056809,114.94912381152412
3,-0.09953571388705973,0.0672645288405055,0.015834990353098835,32.87238938691077
4,-0.08898037356701398,0.06002040961917507,0.015265103442282485,27.389721011112833
5,-0.10110279756438953,0.07213987323862187,0.01499295621032222,27.939936230890883
6,-0.09019553656373475,0.06169083879966573,0.01387371211865101,29.261971290836026
7,-0.12952892748701608,0.08815759158234608,0.018432105298165916,45.87846121300815
8,-0.08299106831736504,0.056114248238494376,0.013794550591506284,26.164538974728767
9,-0.08809228581335712,0.05979569938197025,0.015146492847187153,26.300187168399436
10,-0.11614102218492667,0.08021479134282529,0.01869493297483672,34.462595734529316
11,-0.10250379493802998,0.07024962869769322,0.016171359388653425,32.16561370336669
12,-0.09469312566023408,0.0673043143920719,0.012854407521149828,29.068807494024675
13,-0.09442767646394588,0.06527697357305867,0.017044869910406022,24.211665960962378
14,-0.07379314693646387,0.047560700117330046,0.013629684133640336,25.20552537098696
15,-0.11116566341897921,0.07605541657960117,0.017229998819166363,35.76049604042337
16,-0.08648695680062495,0.05867197125779603,0.013388098310222286,28.853774465213256
17,-0.08001076053042068,0.05348105853232916,0.014456776005708204,24.145851984766615
18,-0.08077891968279158,0.05431323004134326,0.014220049075435072,24.491281132026515
19,-0.10250372502398498,0.07204147987767237,0.016857580757711224,27.20932877720277
20,-0.08923823305941445,0.05863687606674697,0.01657379882771756,28.055116329899853
21,-0.10375181326433594,0.06945933895029482,0.018277907503220562,32.02913362164111
22,-0.08901597233569783,0.05896942324036481,0.017534249549745397,25.024599091175247
23,-0.09032072086396735,0.06364970473879619,0.014758714591138443,23.82460306806541
24,-0.08072016286008832,0.051288682082296776,0.018981895737724852,20.89917008013338
25,-0.0786831136100445,0.05089475777090828,0.015043838390083601,25.489034898105253
26,-0.10501939199597889,0.06733196379129645,0.0212533948769069,32.86806665555106
27,-0.06659098736717588,0.04232966787044866,0.016223570477483736,16.075498038486966
28,-0.09491620665544744,0.06278979887963515,0.018679257202546668,26.894301146531237
29,-0.061341115757626484,0.038306157139952696,0.01467414675625144,16.721623722844686
30,-0.08357093280603836,0.05407710419163739,0.01818603405339892,22.61558912200411
31,-0.08279262163429629,0.05140224185599722,0.021548862049227832,19.683035458142474
32,-0.09246785018373857,0.05859969656154979,0.02152066672830804,24.694973787761462
33,-0.08518119607499378,0.05664940293831254,0.018058887720502053,20.945810832358358
34,-0.09106083371784751,0.05882198125617357,0.02107726038328071,22.323184156786457
35,-0.09978497517611842,0.06387383456006449,0.02170294941981808,28.4163823924717
36,-0.08412202174109512,0.05187459937195872,0.02241613918579676,19.66256636667929
37,-0.10546086799110957,0.06753302573424541,0.02341771789712411,29.02024871948012
38,-0.0970850156944528,0.061016189357205416,0.021304172124349124,29.529308425796522
39,-0.07650557344067284,0.050613468966894226,0.018605977349331906,14.572254248893424
40,-0.07369544976442005,0.04953854677960763,0.017016604048788537,14.28059787204778
41,-0.07601919265836443,0.05038013728952415,0.01784865204510092,15.580806647478726
42,-0.06671772756346271,0.04247964017917593,0.01656090130316044,15.354372162252698
43,-0.07609831622187133,0.049644702703694886,0.01875793997228998,15.391347091772916
44,-0.07138424275079613,0.04612312300700226,0.018410532528215624,13.70117443115649
45,-0.07170136356442891,0.04837778605414732,0.016771589380022694,13.103976260517785
46,-0.0772439331984775,0.04976485059779331,0.01820580363915445,18.546557923059495
47,-0.09865694186063718,0.06399795030750613,0.021968691735487256,25.380599635287613
48,-0.10526315315829891,0.06701533991198162,0.024400061073517575,27.695504345599435
49,-0.06824458584558203,0.045107945844761944,0.016976993192778185,12.319293616083804
50,-0.06776229316329674,0.04302729345167534,0.017429269234164445,14.611460954913928
51,-0.1036138968326649,0.06790561606830935,0.023159839527590823,25.096882473529476
52,-0.08788726016896173,0.058708534443953866,0.020347263776229477,17.662923897556784
53,-0.10700613156895701,0.06705305197113551,0.02522059926515689,29.464960665329208
54,-0.0699775567473028,0.046138860689351434,0.01721965715823153,13.238077799439681
55,-0.0718174202874948,0.04923723611204385,0.015672072182993317,13.816223984915275
56,-0.07085563386323881,0.0444804485754098,0.020402143826641014,11.946082922375997
57,-0.07983339864761954,0.05459570981882821,0.017097478140766693,16.280421376049272
58,-0.05551403895583372,0.033691105404700036,0.01591058083185981,11.824705438547745
59,-0.06327866510302908,0.039540493462276734,0.016736160825222463,14.00402163105976
60,-0.08929129784514303,0.057466523668773424,0.022271270624961596,19.107007102816013
61,-0.06700484173740663,0.043422401153178046,0.01770891693570933,11.747047297038518
62,-0.06484073678817856,0.039741640714329306,0.018284332567138767,13.629527013420963
63,-0.06645666866745896,0.04497978320150536,0.01494677385361938,13.060223224668443
64,-0.06518790809517569,0.044411338635142614,0.014053390706315855,13.446357507434458
65,-0.06906144454357638,0.04554212312945193,0.017310104807280242,12.418433213688417
66,-0.0610324168569083,0.03684851875641305,0.017557808331309356,13.252179538371788
67,-0.07491759058497201,0.051534872421594255,0.015860754323956977,15.043927678841547
68,-0.07249160777719114,0.04655018513438828,0.01826281805731758,15.357209170970576
69,-0.07619743355178529,0.049566122067375575,0.017595319427658705,18.071984113502015
70,-0.07990587198459113,0.05011650426791697,0.019807157390191475,19.96442065296536
